cell_name,x,y,width,height,fixed,algorithm
DFF_11,1.33,0,3.23,1.4,0,Abacus
NOR2_6,0.38,12.6,0.57,1.4,0,Abacus
NOT_18,16.15,0,0.38,1.4,0,Abacus
NOT_28,1.9,5.6,0.38,1.4,0,Abacus
AND2_1,15.39,0,0.76,1.4,0,Abacus
DFF_7,5.51,9.8,3.23,1.4,0,Abacus
NOT_9,11.02,14,0.38,1.4,0,Abacus
DFF_8,2.85,11.2,3.23,1.4,0,Abacus
AND2_18,14.06,8.4,0.76,1.4,0,Abacus
P3,7.6,5.6,0.38,1.4,0,Abacus
NOT_5,8.74,15.4,0.38,1.4,0,Abacus
A2,7.79,14,0.38,1.4,0,Abacus
B3,1.14,4.2,0.38,1.4,0,Abacus
DFF_1,6.65,11.2,3.23,1.4,0,Abacus
B0,5.89,4.2,0.38,1.4,0,Abacus
NOT_50,0.38,14,0.38,1.4,0,Abacus
NOR2_15,12.54,2.8,0.57,1.4,0,Abacus
NOR2_10,13.11,1.4,0.57,1.4,0,Abacus
OR2_0,11.78,4.2,0.76,1.4,0,Abacus
A3,16.34,2.8,0.38,1.4,0,Abacus
A0,9.69,14,0.38,1.4,0,Abacus
NOT_20,0,9.8,0.38,1.4,0,Abacus
VDD,11.21,11.2,0.38,1.4,0,Abacus
NOT_29,8.36,15.4,0.38,1.4,0,Abacus
AND2_35,12.35,1.4,0.76,1.4,0,Abacus
P4,5.51,14,0.38,1.4,0,Abacus
NOT_41,15.77,4.2,0.38,1.4,0,Abacus
CK,12.35,7,0.38,1.4,0,Abacus
DFF_9,1.52,4.2,3.23,1.4,0,Abacus
NOT_1,8.74,9.8,0.38,1.4,0,Abacus
P0,11.4,8.4,0.38,1.4,0,Abacus
DFF_6,8.17,0,3.23,1.4,0,Abacus
AND2_17,7.6,2.8,0.76,1.4,0,Abacus
NOT_25,4.56,0,0.38,1.4,0,Abacus
NOT_24,8.36,2.8,0.38,1.4,0,Abacus
NAND3_0,0.38,5.6,0.57,1.4,0,Abacus
P1,9.12,2.8,0.38,1.4,0,Abacus
AND2_9,13.68,1.4,0.76,1.4,0,Abacus
P2,8.55,12.6,0.38,1.4,0,Abacus
NOT_21,9.31,14,0.38,1.4,0,Abacus
NOT_8,14.44,7,0.38,1.4,0,Abacus
NOT_55,16.72,4.2,0.38,1.4,0,Abacus
DFF_5,2.09,2.8,3.23,1.4,0,Abacus
NOR2_19,3.23,9.8,0.57,1.4,0,Abacus
NOR3_0,2.47,7,0.57,1.4,0,Abacus
CNTVCO2,5.89,14,0.38,1.4,0,Abacus
B1,6.84,4.2,0.38,1.4,0,Abacus
READY,3.42,7,0.38,1.4,0,Abacus
NOT_7,5.51,2.8,0.38,1.4,0,Abacus
AND2_25,13.3,0,0.76,1.4,0,Abacus
NOT_3,13.68,8.4,0.38,1.4,0,Abacus
DFF_0,8.17,7,3.23,1.4,0,Abacus
AND2_7,2.47,9.8,0.76,1.4,0,Abacus
AND2_24,14.06,2.8,0.76,1.4,0,Abacus
NOT_58,0,14,0.38,1.4,0,Abacus
NOR2_2,8.36,5.6,0.57,1.4,0,Abacus
DFF_13,8.17,8.4,3.23,1.4,0,Abacus
AND2_19,0,4.2,0.76,1.4,0,Abacus
DFF_4,4.94,0,3.23,1.4,0,Abacus
NOR2_0,0,2.8,0.57,1.4,0,Abacus
NAND2_13,1.14,9.8,0.57,1.4,0,Abacus
NOT_37,6.65,15.4,0.38,1.4,0,Abacus
NOR2_7,7.03,15.4,0.57,1.4,0,Abacus
AND2_22,7.79,4.2,0.76,1.4,0,Abacus
DFF_12,4.37,7,3.23,1.4,0,Abacus
NOT_48,0,12.6,0.38,1.4,0,Abacus
DFF_10,11.59,11.2,3.23,1.4,0,Abacus
NAND2_6,2.28,5.6,0.57,1.4,0,Abacus
NOT_15,10.83,11.2,0.38,1.4,0,Abacus
P6,7.22,5.6,0.38,1.4,0,Abacus
NOT_53,11.78,5.6,0.38,1.4,0,Abacus
AND2_33,0.57,0,0.76,1.4,0,Abacus
A1,0,8.4,0.38,1.4,0,Abacus
AND2_2,12.16,0,0.76,1.4,0,Abacus
NAND2_10,4.18,16.8,0.57,1.4,0,Abacus
DFF_3,0.95,8.4,3.23,1.4,0,Abacus
NOT_31,5.89,2.8,0.38,1.4,0,Abacus
NOT_23,15.2,11.2,0.38,1.4,0,Abacus
DFF_2,4.94,8.4,3.23,1.4,0,Abacus
AND2_4,12.54,8.4,0.76,1.4,0,Abacus
NOT_26,4.75,14,0.38,1.4,0,Abacus
NOR2_27,15.58,11.2,0.57,1.4,0,Abacus
NOT_39,6.46,4.2,0.38,1.4,0,Abacus
NOT_30,6.46,5.6,0.38,1.4,0,Abacus
NOT_32,6.84,5.6,0.38,1.4,0,Abacus
NOT_19,4.37,14,0.38,1.4,0,Abacus
NOT_34,8.17,12.6,0.38,1.4,0,Abacus
NOR2_28,16.53,0,0.57,1.4,0,Abacus
NOR2_3,3.8,9.8,0.57,1.4,0,Abacus
NOT_35,5.51,5.6,0.38,1.4,0,Abacus
AND2_8,0,15.4,0.76,1.4,0,Abacus
NOT_36,11.78,0,0.38,1.4,0,Abacus
AND2_15,14.63,0,0.76,1.4,0,Abacus
AND2_13,9.88,4.2,0.76,1.4,0,Abacus
NOT_22,6.27,15.4,0.38,1.4,0,Abacus
NOT_38,1.14,11.2,0.38,1.4,0,Abacus
NOT_42,12.92,0,0.38,1.4,0,Abacus
NOT_43,12.16,8.4,0.38,1.4,0,Abacus
B2,10.64,14,0.38,1.4,0,Abacus
AND2_21,2.85,16.8,0.76,1.4,0,Abacus
CNTVCON2,1.52,5.6,0.38,1.4,0,Abacus
AND2_26,2.09,14,0.76,1.4,0,Abacus
NOT_44,11.4,0,0.38,1.4,0,Abacus
AND2_36,12.92,4.2,0.76,1.4,0,Abacus
NOT_45,9.69,2.8,0.38,1.4,0,Abacus
AND2_0,0.95,12.6,0.76,1.4,0,Abacus
NAND2_8,10.64,4.2,0.57,1.4,0,Abacus
NOT_46,2.28,16.8,0.38,1.4,0,Abacus
NOR2_11,0,0,0.57,1.4,0,Abacus
NOT_47,2.85,5.6,0.38,1.4,0,Abacus
NOT_33,7.98,5.6,0.38,1.4,0,Abacus
NOT_51,5.13,9.8,0.38,1.4,0,Abacus
NOT_52,3.61,15.4,0.38,1.4,0,Abacus
NOR2_22,16.15,4.2,0.57,1.4,0,Abacus
NAND2_15,8.93,12.6,0.57,1.4,0,Abacus
NOT_56,16.91,2.8,0.38,1.4,0,Abacus
NOT_57,6.46,2.8,0.38,1.4,0,Abacus
AND2_3,6.27,14,0.76,1.4,0,Abacus
AND2_5,2.09,11.2,0.76,1.4,0,Abacus
AND2_6,1.14,7,0.76,1.4,0,Abacus
P7,11.78,8.4,0.38,1.4,0,Abacus
AND2_11,1.52,1.4,0.76,1.4,0,Abacus
NOT_6,0.76,9.8,0.38,1.4,0,Abacus
NOT_17,13.3,7,0.38,1.4,0,Abacus
AND2_12,3.8,12.6,0.76,1.4,0,Abacus
AND2_16,3.61,14,0.76,1.4,0,Abacus
AND2_34,1.52,15.4,0.76,1.4,0,Abacus
NOT_54,4.56,5.6,0.38,1.4,0,Abacus
AND2_20,1.71,12.6,0.76,1.4,0,Abacus
NOT_40,0,11.2,0.38,1.4,0,Abacus
AND2_23,1.33,14,0.76,1.4,0,Abacus
AND3_1,2.85,15.4,0.76,1.4,0,Abacus
P5,10.45,11.2,0.38,1.4,0,Abacus
AND3_0,1.71,9.8,0.76,1.4,0,Abacus
AND2_27,7.6,15.4,0.76,1.4,0,Abacus
AND2_28,11.59,7,0.76,1.4,0,Abacus
