# Enhanced routing data format for plot_routing.py
# Cell format: CELL x y width height cell_name
CELL 88 133 34 14 DFF_8
CELL 76 59 4 15 P7
CELL 78 88 34 15 DFF_7
CELL 36 44 4 15 A1
CELL 50 74 34 14 DFF_3
CELL 126 103 4 15 A2
CELL 176 88 5 15 NAND2_6
CELL 130 103 4 15 NOT_15
CELL 134 15 8 14 AND2_33
CELL 86 44 4 15 P5
CELL 144 133 6 14 NAND2_3
CELL 56 147 8 15 AND2_17
CELL 120 147 8 15 OR3_1
CELL 140 44 4 15 B0
CELL 24 147 8 15 AND2_19
CELL 72 118 4 15 NOT_20
CELL 104 74 4 14 START
CELL 8 118 4 15 NOT_47
CELL 64 147 8 15 AND2_5
CELL 98 15 6 14 NOR2_11
CELL 114 74 4 14 CK
CELL 30 44 6 15 NOR2_23
CELL 88 59 4 15 P0
CELL 100 0 34 15 DFF_5
CELL 84 118 4 15 A3
CELL 156 0 4 15 NOT_24
CELL 38 74 4 14 CNTVCO2
CELL 8 59 4 15 NOT_40
CELL 84 59 4 15 NOT_22
CELL 170 103 4 15 VDD
CELL 82 44 4 15 NOT_35
CELL 86 15 8 14 AND2_1
CELL 156 88 4 15 NOT_33
CELL 68 59 4 15 READY
CELL 62 15 6 14 NAND2_14
CELL 114 118 34 15 DFF_9
CELL 136 147 4 15 NOT_30
CELL 164 15 6 14 NOR2_24
CELL 80 0 8 15 AND2_26
CELL 72 59 4 15 P6
CELL 126 44 4 15 NOT_42
CELL 52 103 34 15 DFF_0
CELL 0 44 4 15 NOT_4
CELL 156 15 8 14 AND2_21
CELL 54 0 6 15 NOR2_5
CELL 170 0 6 15 NAND2_0
CELL 22 44 8 15 AND2_35
CELL 10 103 34 15 DFF_2
CELL 140 133 4 14 NOT_23
CELL 80 147 6 15 NOR2_0
CELL 96 74 4 14 NOT_21
CELL 160 0 4 15 NOT_31
CELL 92 118 4 15 NOT_46
CELL 114 59 4 15 A0
CELL 132 133 8 14 AND2_28
CELL 26 59 34 15 DFF_13
CELL 86 103 34 15 DFF_4
CELL 44 88 34 15 DFF_1
CELL 150 133 8 14 AND2_16
CELL 48 44 34 15 DFF_12
CELL 134 44 6 15 NOR2_6
CELL 12 118 4 15 CNTVCON2
CELL 106 147 8 15 AND2_7
CELL 122 74 6 14 NOR2_1
CELL 134 103 4 15 NOT_7
CELL 124 15 4 14 NOT_25
CELL 54 133 34 14 DFF_6
CELL 14 133 4 14 NOT_26
CELL 100 74 4 14 P3
CELL 170 88 4 15 NOT_27
CELL 72 147 4 15 NOT_1
CELL 26 133 8 14 AND2_10
CELL 4 59 4 15 NOT_28
CELL 164 133 4 14 NOT_32
CELL 20 74 8 14 AND2_12
CELL 154 103 4 15 NOT_34
CELL 94 15 4 14 NOT_36
CELL 32 0 6 15 NOR2_13
CELL 112 88 34 15 DFF_14
CELL 20 118 4 15 NOT_38
CELL 0 59 4 15 NOT_52
CELL 40 44 8 15 AND3_0
CELL 94 147 4 15 NOT_39
CELL 42 74 4 14 NOT_41
CELL 50 133 4 14 NOT_48
CELL 0 74 6 14 NAND2_7
CELL 98 59 4 15 NOT_43
CELL 122 103 4 15 NOT_14
CELL 122 133 4 14 B3
CELL 92 74 4 14 NOT_55
CELL 138 103 4 15 NOT_50
CELL 96 118 4 15 NOT_44
CELL 130 44 4 15 NOT_45
CELL 94 44 4 15 NOT_54
CELL 80 59 4 15 NOT_49
CELL 16 118 4 15 P1
CELL 144 103 4 15 NOT_53
CELL 20 15 34 14 DFF_10
CELL 8 88 4 15 NOT_56
CELL 0 147 8 15 AND2_0
CELL 118 74 4 14 B1
CELL 8 147 8 15 AND2_9
CELL 120 15 4 14 NOT_9
CELL 46 0 8 15 AND3_1
CELL 0 118 4 15 P2
CELL 38 0 8 15 AND2_3
CELL 38 147 6 15 NOR2_21
CELL 104 15 8 14 OR3_0
CELL 140 0 8 15 AND2_4
CELL 18 0 8 15 AND2_11
CELL 144 44 8 15 AND2_34
CELL 148 0 8 15 AND3_2
CELL 162 103 8 15 AND2_13
CELL 112 15 8 14 AND2_2
CELL 2 103 8 15 AND2_18
CELL 34 133 8 14 AND2_20
CELL 76 147 4 15 NOT_17
CELL 54 15 8 14 AND2_22
CELL 142 15 8 14 AND2_23
CELL 0 88 4 15 NOT_51
CELL 102 59 8 15 AND2_24
CELL 128 15 6 14 NOR2_8
CELL 60 0 8 15 AND2_25
CELL 128 74 8 14 AND2_27
CELL 162 118 8 15 AND2_8
CELL 42 133 8 14 AND2_29

# Routing format: x1 y1 z1 x2 y2 z2 net_id
134 46 1 134 46 2 -2140086164
134 46 2 133 46 2 -2140086164
133 46 2 132 46 2 -2140086164
132 46 2 132 46 1 -2140086164
132 46 1 132 45 1 -2140086164
132 45 1 132 44 1 -2140086164
132 44 1 132 43 1 -2140086164
132 43 1 132 42 1 -2140086164
132 42 1 132 41 1 -2140086164
132 41 1 132 40 1 -2140086164
132 40 1 132 40 0 -2140086164
132 40 0 131 40 0 -2140086164
131 40 0 130 40 0 -2140086164
130 40 0 129 40 0 -2140086164
129 40 0 128 40 0 -2140086164
128 40 0 127 40 0 -2140086164
127 40 0 126 40 0 -2140086164
126 40 0 125 40 0 -2140086164
125 40 0 124 40 0 -2140086164
124 40 0 123 40 0 -2140086164
123 40 0 122 40 0 -2140086164
122 40 0 121 40 0 -2140086164
121 40 0 120 40 0 -2140086164
120 40 0 119 40 0 -2140086164
119 40 0 118 40 0 -2140086164
118 40 0 117 40 0 -2140086164
117 40 0 116 40 0 -2140086164
116 40 0 115 40 0 -2140086164
115 40 0 114 40 0 -2140086164
114 40 0 113 40 0 -2140086164
113 40 0 112 40 0 -2140086164
112 40 0 111 40 0 -2140086164
111 40 0 110 40 0 -2140086164
110 40 0 109 40 0 -2140086164
109 40 0 108 40 0 -2140086164
108 40 0 107 40 0 -2140086164
107 40 0 106 40 0 -2140086164
106 40 0 105 40 0 -2140086164
105 40 0 104 40 0 -2140086164
104 40 0 103 40 0 -2140086164
103 40 0 102 40 0 -2140086164
102 40 0 101 40 0 -2140086164
101 40 0 100 40 0 -2140086164
100 40 0 99 40 0 -2140086164
99 40 0 98 40 0 -2140086164
98 40 0 97 40 0 -2140086164
97 40 0 96 40 0 -2140086164
96 40 0 95 40 0 -2140086164
95 40 0 94 40 0 -2140086164
94 40 0 93 40 0 -2140086164
93 40 0 92 40 0 -2140086164
92 40 0 91 40 0 -2140086164
91 40 0 90 40 0 -2140086164
90 40 0 89 40 0 -2140086164
89 40 0 88 40 0 -2140086164
88 40 0 87 40 0 -2140086164
87 40 0 86 40 0 -2140086164
86 40 0 85 40 0 -2140086164
85 40 0 84 40 0 -2140086164
84 40 0 83 40 0 -2140086164
83 40 0 82 40 0 -2140086164
82 40 0 81 40 0 -2140086164
81 40 0 80 40 0 -2140086164
80 40 0 79 40 0 -2140086164
79 40 0 78 40 0 -2140086164
78 40 0 77 40 0 -2140086164
77 40 0 76 40 0 -2140086164
76 40 0 75 40 0 -2140086164
75 40 0 74 40 0 -2140086164
74 40 0 73 40 0 -2140086164
73 40 0 72 40 0 -2140086164
72 40 0 71 40 0 -2140086164
71 40 0 70 40 0 -2140086164
70 40 0 69 40 0 -2140086164
69 40 0 68 40 0 -2140086164
68 40 0 67 40 0 -2140086164
67 40 0 66 40 0 -2140086164
66 40 0 65 40 0 -2140086164
65 40 0 64 40 0 -2140086164
64 40 0 63 40 0 -2140086164
63 40 0 62 40 0 -2140086164
62 40 0 61 40 0 -2140086164
61 40 0 60 40 0 -2140086164
60 40 0 59 40 0 -2140086164
59 40 0 58 40 0 -2140086164
58 40 0 57 40 0 -2140086164
57 40 0 56 40 0 -2140086164
56 40 0 55 40 0 -2140086164
55 40 0 54 40 0 -2140086164
54 40 0 53 40 0 -2140086164
53 40 0 52 40 0 -2140086164
52 40 0 51 40 0 -2140086164
51 40 0 50 40 0 -2140086164
50 40 0 49 40 0 -2140086164
49 40 0 48 40 0 -2140086164
48 40 0 47 40 0 -2140086164
47 40 0 46 40 0 -2140086164
46 40 0 45 40 0 -2140086164
45 40 0 44 40 0 -2140086164
44 40 0 43 40 0 -2140086164
43 40 0 42 40 0 -2140086164
42 40 0 41 40 0 -2140086164
41 40 0 40 40 0 -2140086164
40 40 0 39 40 0 -2140086164
39 40 0 38 40 0 -2140086164
38 40 0 37 40 0 -2140086164
37 40 0 36 40 0 -2140086164
36 40 0 35 40 0 -2140086164
35 40 0 34 40 0 -2140086164
34 40 0 33 40 0 -2140086164
33 40 0 32 40 0 -2140086164
32 40 0 31 40 0 -2140086164
31 40 0 30 40 0 -2140086164
30 40 0 29 40 0 -2140086164
29 40 0 28 40 0 -2140086164
28 40 0 27 40 0 -2140086164
27 40 0 26 40 0 -2140086164
26 40 0 26 40 1 -2140086164
26 40 1 26 41 1 -2140086164
26 41 1 26 42 1 -2140086164
26 42 1 26 43 1 -2140086164
26 43 1 26 44 1 -2140086164
26 44 1 26 45 1 -2140086164
26 45 1 26 46 1 -2140086164
26 46 1 26 47 1 -2140086164
26 47 1 26 48 1 -2140086164
26 48 1 26 49 1 -2140086164
26 49 1 26 50 1 -2140086164
26 50 1 26 51 1 -2140086164
26 51 1 26 52 1 -2140086164
105 66 1 105 67 1 -2107925057
105 67 1 105 68 1 -2107925057
105 68 1 105 69 1 -2107925057
105 69 1 105 70 1 -2107925057
105 70 1 105 71 1 -2107925057
105 71 1 105 72 1 -2107925057
105 72 1 105 73 1 -2107925057
105 73 1 105 74 1 -2107925057
105 74 1 105 75 1 -2107925057
105 75 1 105 76 1 -2107925057
105 76 1 105 77 1 -2107925057
105 77 1 105 78 1 -2107925057
105 78 1 105 79 1 -2107925057
105 79 1 105 80 1 -2107925057
105 80 1 105 81 1 -2107925057
105 81 1 105 82 1 -2107925057
105 82 1 105 83 1 -2107925057
105 83 1 105 84 1 -2107925057
105 84 1 105 85 1 -2107925057
105 85 1 105 86 1 -2107925057
105 86 1 105 87 1 -2107925057
105 87 1 105 88 1 -2107925057
105 88 1 105 89 1 -2107925057
105 89 1 105 90 1 -2107925057
105 90 1 105 91 1 -2107925057
105 91 1 105 92 1 -2107925057
105 92 1 105 93 1 -2107925057
105 93 1 105 94 1 -2107925057
105 94 1 105 95 1 -2107925057
105 95 1 105 96 1 -2107925057
105 96 1 105 97 1 -2107925057
105 97 1 105 98 1 -2107925057
105 98 1 105 99 1 -2107925057
105 99 1 105 100 1 -2107925057
105 100 1 105 101 1 -2107925057
105 101 1 105 102 1 -2107925057
105 102 1 105 103 1 -2107925057
105 103 1 105 104 1 -2107925057
105 104 1 105 105 1 -2107925057
105 105 1 105 106 1 -2107925057
105 106 1 105 107 1 -2107925057
105 107 1 105 108 1 -2107925057
105 108 1 105 109 1 -2107925057
105 109 1 105 110 1 -2107925057
105 110 1 105 111 1 -2107925057
105 111 1 105 112 1 -2107925057
105 112 1 105 113 1 -2107925057
105 113 1 105 114 1 -2107925057
105 114 1 105 115 1 -2107925057
105 115 1 105 116 1 -2107925057
105 116 1 105 117 1 -2107925057
105 117 1 105 118 1 -2107925057
105 118 1 105 119 1 -2107925057
105 119 1 105 120 1 -2107925057
105 120 1 105 121 1 -2107925057
105 121 1 105 122 1 -2107925057
105 122 1 105 123 1 -2107925057
105 123 1 105 124 1 -2107925057
105 124 1 105 125 1 -2107925057
105 125 1 105 126 1 -2107925057
105 126 1 105 127 1 -2107925057
105 127 1 105 128 1 -2107925057
105 128 1 105 129 1 -2107925057
105 129 1 105 130 1 -2107925057
105 130 1 105 131 1 -2107925057
105 131 1 105 132 1 -2107925057
105 132 1 105 133 1 -2107925057
105 133 1 105 134 1 -2107925057
105 134 1 105 135 1 -2107925057
105 135 1 105 136 1 -2107925057
105 136 1 105 137 1 -2107925057
105 137 1 105 138 1 -2107925057
105 138 1 105 139 1 -2107925057
105 139 1 105 140 1 -2107925057
105 140 1 105 141 1 -2107925057
105 141 1 105 142 1 -2107925057
105 142 1 105 143 1 -2107925057
105 143 1 105 144 1 -2107925057
105 144 1 105 145 1 -2107925057
105 145 1 105 146 1 -2107925057
105 146 1 105 147 1 -2107925057
105 147 1 105 148 1 -2107925057
105 148 1 105 149 1 -2107925057
105 149 1 105 150 1 -2107925057
105 150 1 105 151 1 -2107925057
105 151 1 105 152 1 -2107925057
105 152 1 105 153 1 -2107925057
105 153 1 105 154 1 -2107925057
105 154 1 105 155 1 -2107925057
105 155 1 105 156 1 -2107925057
105 156 1 105 156 2 -2107925057
105 156 2 104 156 2 -2107925057
104 156 2 103 156 2 -2107925057
103 156 2 102 156 2 -2107925057
102 156 2 101 156 2 -2107925057
101 156 2 100 156 2 -2107925057
100 156 2 99 156 2 -2107925057
99 156 2 98 156 2 -2107925057
98 156 2 97 156 2 -2107925057
97 156 2 96 156 2 -2107925057
96 156 2 95 156 2 -2107925057
95 156 2 94 156 2 -2107925057
94 156 2 93 156 2 -2107925057
93 156 2 92 156 2 -2107925057
92 156 2 91 156 2 -2107925057
91 156 2 90 156 2 -2107925057
90 156 2 89 156 2 -2107925057
89 156 2 88 156 2 -2107925057
88 156 2 87 156 2 -2107925057
87 156 2 86 156 2 -2107925057
86 156 2 85 156 2 -2107925057
85 156 2 84 156 2 -2107925057
84 156 2 83 156 2 -2107925057
83 156 2 82 156 2 -2107925057
82 156 2 81 156 2 -2107925057
81 156 2 80 156 2 -2107925057
80 156 2 79 156 2 -2107925057
79 156 2 78 156 2 -2107925057
78 156 2 77 156 2 -2107925057
77 156 2 76 156 2 -2107925057
76 156 2 75 156 2 -2107925057
75 156 2 74 156 2 -2107925057
74 156 2 73 156 2 -2107925057
73 156 2 72 156 2 -2107925057
72 156 2 71 156 2 -2107925057
71 156 2 70 156 2 -2107925057
70 156 2 69 156 2 -2107925057
69 156 2 68 156 2 -2107925057
68 156 2 67 156 2 -2107925057
67 156 2 66 156 2 -2107925057
66 156 2 65 156 2 -2107925057
65 156 2 64 156 2 -2107925057
64 156 2 63 156 2 -2107925057
63 156 2 62 156 2 -2107925057
62 156 2 61 156 2 -2107925057
61 156 2 60 156 2 -2107925057
60 156 2 59 156 2 -2107925057
59 156 2 58 156 2 -2107925057
58 156 2 57 156 2 -2107925057
57 156 2 56 156 2 -2107925057
56 156 2 55 156 2 -2107925057
55 156 2 54 156 2 -2107925057
54 156 2 53 156 2 -2107925057
53 156 2 52 156 2 -2107925057
52 156 2 51 156 2 -2107925057
51 156 2 50 156 2 -2107925057
50 156 2 49 156 2 -2107925057
49 156 2 48 156 2 -2107925057
48 156 2 47 156 2 -2107925057
47 156 2 46 156 2 -2107925057
46 156 2 45 156 2 -2107925057
45 156 2 44 156 2 -2107925057
44 156 2 43 156 2 -2107925057
43 156 2 42 156 2 -2107925057
42 156 2 41 156 2 -2107925057
41 156 2 41 156 1 -2107925057
41 156 1 41 155 1 -2107925057
137 111 1 137 111 2 -2085052225
137 111 2 136 111 2 -2085052225
136 111 2 135 111 2 -2085052225
135 111 2 134 111 2 -2085052225
134 111 2 133 111 2 -2085052225
133 111 2 133 111 1 -2085052225
133 111 1 133 110 1 -2085052225
133 110 1 133 109 1 -2085052225
133 109 1 133 108 1 -2085052225
133 108 1 133 107 1 -2085052225
133 107 1 133 106 1 -2085052225
133 106 1 133 105 1 -2085052225
133 105 1 133 105 2 -2085052225
133 105 2 132 105 2 -2085052225
132 105 2 131 105 2 -2085052225
131 105 2 130 105 2 -2085052225
130 105 2 129 105 2 -2085052225
129 105 2 128 105 2 -2085052225
128 105 2 127 105 2 -2085052225
127 105 2 126 105 2 -2085052225
126 105 2 125 105 2 -2085052225
125 105 2 124 105 2 -2085052225
124 105 2 123 105 2 -2085052225
123 105 2 122 105 2 -2085052225
122 105 2 121 105 2 -2085052225
121 105 2 120 105 2 -2085052225
120 105 2 119 105 2 -2085052225
119 105 2 118 105 2 -2085052225
118 105 2 117 105 2 -2085052225
117 105 2 116 105 2 -2085052225
116 105 2 115 105 2 -2085052225
115 105 2 114 105 2 -2085052225
114 105 2 113 105 2 -2085052225
113 105 2 112 105 2 -2085052225
112 105 2 111 105 2 -2085052225
111 105 2 110 105 2 -2085052225
110 105 2 109 105 2 -2085052225
109 105 2 108 105 2 -2085052225
108 105 2 107 105 2 -2085052225
107 105 2 106 105 2 -2085052225
106 105 2 105 105 2 -2085052225
105 105 2 104 105 2 -2085052225
104 105 2 103 105 2 -2085052225
103 105 2 102 105 2 -2085052225
102 105 2 101 105 2 -2085052225
101 105 2 100 105 2 -2085052225
100 105 2 99 105 2 -2085052225
99 105 2 98 105 2 -2085052225
98 105 2 97 105 2 -2085052225
97 105 2 96 105 2 -2085052225
96 105 2 95 105 2 -2085052225
95 105 2 94 105 2 -2085052225
94 105 2 93 105 2 -2085052225
93 105 2 92 105 2 -2085052225
92 105 2 91 105 2 -2085052225
91 105 2 90 105 2 -2085052225
90 105 2 89 105 2 -2085052225
89 105 2 88 105 2 -2085052225
88 105 2 87 105 2 -2085052225
87 105 2 86 105 2 -2085052225
86 105 2 85 105 2 -2085052225
85 105 2 84 105 2 -2085052225
84 105 2 83 105 2 -2085052225
83 105 2 82 105 2 -2085052225
82 105 2 81 105 2 -2085052225
81 105 2 80 105 2 -2085052225
80 105 2 79 105 2 -2085052225
79 105 2 78 105 2 -2085052225
78 105 2 77 105 2 -2085052225
77 105 2 76 105 2 -2085052225
76 105 2 75 105 2 -2085052225
75 105 2 74 105 2 -2085052225
74 105 2 73 105 2 -2085052225
73 105 2 72 105 2 -2085052225
72 105 2 71 105 2 -2085052225
71 105 2 70 105 2 -2085052225
70 105 2 69 105 2 -2085052225
69 105 2 68 105 2 -2085052225
68 105 2 67 105 2 -2085052225
67 105 2 66 105 2 -2085052225
66 105 2 65 105 2 -2085052225
65 105 2 64 105 2 -2085052225
64 105 2 63 105 2 -2085052225
63 105 2 62 105 2 -2085052225
62 105 2 61 105 2 -2085052225
61 105 2 60 105 2 -2085052225
60 105 2 59 105 2 -2085052225
59 105 2 58 105 2 -2085052225
58 105 2 57 105 2 -2085052225
57 105 2 56 105 2 -2085052225
56 105 2 55 105 2 -2085052225
55 105 2 54 105 2 -2085052225
54 105 2 53 105 2 -2085052225
53 105 2 52 105 2 -2085052225
52 105 2 51 105 2 -2085052225
51 105 2 51 105 1 -2085052225
51 105 1 51 105 0 -2085052225
51 105 0 50 105 0 -2085052225
50 105 0 49 105 0 -2085052225
49 105 0 48 105 0 -2085052225
48 105 0 47 105 0 -2085052225
47 105 0 46 105 0 -2085052225
46 105 0 45 105 0 -2085052225
45 105 0 45 105 1 -2085052225
45 105 1 45 104 1 -2085052225
45 104 1 45 103 1 -2085052225
45 103 1 45 102 1 -2085052225
45 102 1 45 101 1 -2085052225
45 101 1 45 101 2 -2085052225
45 101 2 44 101 2 -2085052225
44 101 2 43 101 2 -2085052225
43 101 2 42 101 2 -2085052225
42 101 2 41 101 2 -2085052225
41 101 2 40 101 2 -2085052225
40 101 2 39 101 2 -2085052225
39 101 2 38 101 2 -2085052225
38 101 2 37 101 2 -2085052225
37 101 2 36 101 2 -2085052225
36 101 2 35 101 2 -2085052225
35 101 2 34 101 2 -2085052225
34 101 2 33 101 2 -2085052225
33 101 2 32 101 2 -2085052225
32 101 2 31 101 2 -2085052225
31 101 2 30 101 2 -2085052225
30 101 2 29 101 2 -2085052225
29 101 2 28 101 2 -2085052225
28 101 2 27 101 2 -2085052225
27 101 2 26 101 2 -2085052225
26 101 2 25 101 2 -2085052225
25 101 2 24 101 2 -2085052225
24 101 2 23 101 2 -2085052225
23 101 2 22 101 2 -2085052225
22 101 2 21 101 2 -2085052225
21 101 2 20 101 2 -2085052225
20 101 2 19 101 2 -2085052225
19 101 2 18 101 2 -2085052225
18 101 2 18 101 1 -2085052225
18 101 1 18 100 1 -2085052225
18 100 1 18 99 1 -2085052225
18 99 1 18 98 1 -2085052225
18 98 1 18 97 1 -2085052225
18 97 1 18 97 2 -2085052225
18 97 2 17 97 2 -2085052225
17 97 2 16 97 2 -2085052225
16 97 2 16 97 1 -2085052225
16 97 1 16 96 1 -2085052225
16 96 1 16 95 1 -2085052225
16 95 1 16 94 1 -2085052225
16 94 1 16 93 1 -2085052225
16 93 1 16 93 2 -2085052225
16 93 2 15 93 2 -2085052225
15 93 2 14 93 2 -2085052225
14 93 2 13 93 2 -2085052225
13 93 2 12 93 2 -2085052225
12 93 2 11 93 2 -2085052225
11 93 2 10 93 2 -2085052225
10 93 2 9 93 2 -2085052225
9 93 2 8 93 2 -2085052225
8 93 2 7 93 2 -2085052225
7 93 2 7 93 1 -2085052225
7 93 1 7 92 1 -2085052225
7 92 1 7 91 1 -2085052225
7 91 1 7 90 1 -2085052225
7 90 1 7 89 1 -2085052225
7 89 1 7 88 1 -2085052225
7 88 1 7 87 1 -2085052225
7 87 1 7 86 1 -2085052225
7 86 1 7 85 1 -2085052225
7 85 1 7 84 1 -2085052225
7 84 1 7 83 1 -2085052225
7 83 1 7 82 1 -2085052225
7 82 1 7 81 1 -2085052225
7 81 1 7 80 1 -2085052225
7 80 1 7 80 2 -2085052225
7 80 2 8 80 2 -2085052225
8 80 2 9 80 2 -2085052225
9 80 2 9 80 1 -2085052225
9 80 1 9 80 2 -2085052225
9 80 2 8 80 2 -2085052225
8 80 2 7 80 2 -2085052225
7 80 2 6 80 2 -2085052225
6 80 2 5 80 2 -2085052225
5 80 2 5 80 1 -2085052225
5 80 1 5 81 1 -2085052225
5 81 1 5 81 2 -2085052225
5 81 2 4 81 2 -2085052225
4 81 2 4 81 1 -2085052225
116 53 1 116 53 2 -2084544981
116 53 2 115 53 2 -2084544981
115 53 2 114 53 2 -2084544981
114 53 2 114 53 1 -2084544981
114 53 1 114 54 1 -2084544981
114 54 1 114 55 1 -2084544981
114 55 1 114 56 1 -2084544981
114 56 1 114 57 1 -2084544981
114 57 1 114 58 1 -2084544981
114 58 1 114 59 1 -2084544981
114 59 1 114 60 1 -2084544981
114 60 1 114 61 1 -2084544981
114 61 1 114 62 1 -2084544981
114 62 1 114 63 1 -2084544981
114 63 1 114 63 2 -2084544981
114 63 2 115 63 2 -2084544981
115 63 2 116 63 2 -2084544981
116 63 2 117 63 2 -2084544981
117 63 2 118 63 2 -2084544981
118 63 2 119 63 2 -2084544981
119 63 2 120 63 2 -2084544981
120 63 2 121 63 2 -2084544981
121 63 2 122 63 2 -2084544981
122 63 2 123 63 2 -2084544981
123 63 2 124 63 2 -2084544981
124 63 2 125 63 2 -2084544981
125 63 2 126 63 2 -2084544981
126 63 2 127 63 2 -2084544981
127 63 2 128 63 2 -2084544981
128 63 2 129 63 2 -2084544981
129 63 2 130 63 2 -2084544981
130 63 2 131 63 2 -2084544981
131 63 2 132 63 2 -2084544981
132 63 2 133 63 2 -2084544981
133 63 2 134 63 2 -2084544981
134 63 2 135 63 2 -2084544981
135 63 2 136 63 2 -2084544981
136 63 2 137 63 2 -2084544981
137 63 2 137 63 1 -2084544981
137 63 1 137 64 1 -2084544981
137 64 1 137 65 1 -2084544981
137 65 1 137 66 1 -2084544981
137 66 1 137 67 1 -2084544981
137 67 1 137 68 1 -2084544981
137 68 1 137 69 1 -2084544981
137 69 1 137 70 1 -2084544981
137 70 1 137 70 0 -2084544981
137 70 0 138 70 0 -2084544981
138 70 0 139 70 0 -2084544981
139 70 0 140 70 0 -2084544981
140 70 0 140 70 1 -2084544981
140 70 1 140 71 1 -2084544981
140 71 1 140 72 1 -2084544981
140 72 1 140 73 1 -2084544981
140 73 1 140 74 1 -2084544981
140 74 1 140 75 1 -2084544981
140 75 1 140 76 1 -2084544981
140 76 1 140 77 1 -2084544981
140 77 1 140 78 1 -2084544981
140 78 1 140 79 1 -2084544981
140 79 1 140 80 1 -2084544981
140 80 1 140 81 1 -2084544981
140 81 1 140 81 2 -2084544981
140 81 2 139 81 2 -2084544981
139 81 2 138 81 2 -2084544981
138 81 2 137 81 2 -2084544981
137 81 2 136 81 2 -2084544981
136 81 2 136 81 1 -2084544981
136 81 1 136 82 1 -2084544981
136 82 1 136 83 1 -2084544981
136 83 1 136 84 1 -2084544981
136 84 1 136 85 1 -2084544981
136 85 1 136 86 1 -2084544981
136 86 1 136 87 1 -2084544981
136 87 1 136 88 1 -2084544981
136 88 1 136 89 1 -2084544981
136 89 1 136 90 1 -2084544981
136 90 1 136 91 1 -2084544981
136 91 1 136 92 1 -2084544981
136 92 1 136 93 1 -2084544981
136 93 1 136 94 1 -2084544981
136 94 1 136 95 1 -2084544981
136 95 1 136 96 1 -2084544981
136 96 1 136 97 1 -2084544981
136 97 1 136 98 1 -2084544981
136 98 1 136 99 1 -2084544981
136 99 1 136 100 1 -2084544981
136 100 1 136 101 1 -2084544981
136 101 1 136 102 1 -2084544981
136 102 1 136 103 1 -2084544981
136 103 1 136 103 2 -2084544981
136 103 2 135 103 2 -2084544981
135 103 2 134 103 2 -2084544981
134 103 2 133 103 2 -2084544981
133 103 2 132 103 2 -2084544981
132 103 2 131 103 2 -2084544981
131 103 2 130 103 2 -2084544981
130 103 2 129 103 2 -2084544981
129 103 2 129 103 1 -2084544981
129 103 1 129 104 1 -2084544981
