# Enhanced routing data format for plot_routing.py
# Cell format: CELL x y width height cell_name
114 30 0 113 30 0 -2129354316
113 30 0 112 30 0 -2129354316
112 30 0 112 30 1 -2129354316
112 30 1 112 31 1 -2129354316
112 31 1 112 31 0 -2129354316
112 31 0 111 31 0 -2129354316
111 31 0 110 31 0 -2129354316
110 31 0 109 31 0 -2129354316
109 31 0 108 31 0 -2129354316
108 31 0 107 31 0 -2129354316
107 31 0 106 31 0 -2129354316
106 31 0 106 31 1 -2129354316
106 31 1 106 32 1 -2129354316
106 32 1 106 33 1 -2129354316
106 33 1 106 34 1 -2129354316
106 34 1 106 35 1 -2129354316
106 35 1 106 36 1 -2129354316
106 36 1 106 37 1 -2129354316
106 37 1 106 38 1 -2129354316
106 38 1 106 38 0 -2129354316
106 38 0 105 38 0 -2129354316
105 38 0 104 38 0 -2129354316
104 38 0 103 38 0 -2129354316
103 38 0 102 38 0 -2129354316
102 38 0 101 38 0 -2129354316
101 38 0 100 38 0 -2129354316
100 38 0 99 38 0 -2129354316
99 38 0 98 38 0 -2129354316
98 38 0 97 38 0 -2129354316
97 38 0 96 38 0 -2129354316
96 38 0 95 38 0 -2129354316
95 38 0 94 38 0 -2129354316
94 38 0 94 38 1 -2129354316
94 38 1 94 39 1 -2129354316
94 39 1 94 40 1 -2129354316
94 40 1 94 41 1 -2129354316
94 41 1 94 41 0 -2129354316
94 41 0 93 41 0 -2129354316
93 41 0 92 41 0 -2129354316
92 41 0 91 41 0 -2129354316
91 41 0 91 41 1 -2129354316
91 41 1 91 42 1 -2129354316
91 42 1 91 43 1 -2129354316
91 43 1 91 44 1 -2129354316
91 44 1 91 45 1 -2129354316
91 45 1 91 46 1 -2129354316
91 46 1 91 47 1 -2129354316
91 47 1 91 48 1 -2129354316
91 48 1 91 49 1 -2129354316
91 49 1 91 50 1 -2129354316
91 50 1 91 51 1 -2129354316
91 51 1 91 52 1 -2129354316
91 52 1 91 53 1 -2129354316
91 53 1 91 54 1 -2129354316
91 54 1 91 55 1 -2129354316
91 55 1 91 56 1 -2129354316
91 56 1 91 57 1 -2129354316
91 57 1 91 58 1 -2129354316
91 58 1 91 58 2 -2129354316
91 58 2 90 58 2 -2129354316
90 58 2 90 58 1 -2129354316
90 58 1 90 59 1 -2129354316
90 59 1 90 60 1 -2129354316
90 60 1 90 61 1 -2129354316
90 61 1 90 62 1 -2129354316
90 62 1 90 63 1 -2129354316
90 63 1 90 64 1 -2129354316
90 64 1 90 65 1 -2129354316
90 65 1 90 66 1 -2129354316
90 66 1 90 67 1 -2129354316
90 67 1 90 68 1 -2129354316
90 68 1 90 69 1 -2129354316
90 69 1 90 70 1 -2129354316
90 70 1 90 71 1 -2129354316
90 71 1 90 72 1 -2129354316
90 72 1 90 73 1 -2129354316
90 73 1 90 74 1 -2129354316
90 74 1 90 75 1 -2129354316
90 75 1 90 76 1 -2129354316
90 76 1 90 77 1 -2129354316
90 77 1 90 78 1 -2129354316
90 78 1 90 79 1 -2129354316
90 79 1 90 80 1 -2129354316
90 80 1 90 81 1 -2129354316
90 81 1 90 82 1 -2129354316
90 82 1 90 83 1 -2129354316
90 83 1 90 84 1 -2129354316
90 84 1 90 85 1 -2129354316
90 85 1 90 86 1 -2129354316
90 86 1 90 87 1 -2129354316
90 87 1 90 88 1 -2129354316
90 88 1 90 89 1 -2129354316
90 89 1 90 90 1 -2129354316
90 90 1 90 91 1 -2129354316
90 91 1 90 92 1 -2129354316
90 92 1 90 93 1 -2129354316
90 93 1 90 94 1 -2129354316
90 94 1 90 95 1 -2129354316
90 95 1 90 96 1 -2129354316
90 96 1 90 97 1 -2129354316
90 97 1 90 98 1 -2129354316
90 98 1 90 99 1 -2129354316
90 99 1 90 100 1 -2129354316
90 100 1 90 101 1 -2129354316
90 101 1 90 102 1 -2129354316
90 102 1 90 103 1 -2129354316
90 103 1 90 104 1 -2129354316
90 104 1 90 105 1 -2129354316
90 105 1 90 106 1 -2129354316
90 106 1 90 107 1 -2129354316
90 107 1 90 108 1 -2129354316
90 108 1 90 109 1 -2129354316
90 109 1 90 110 1 -2129354316
90 110 1 90 111 1 -2129354316
90 111 1 90 112 1 -2129354316
90 112 1 90 113 1 -2129354316
90 113 1 90 114 1 -2129354316
90 114 1 90 115 1 -2129354316
90 115 1 90 116 1 -2129354316
90 116 1 90 117 1 -2129354316
90 117 1 90 118 1 -2129354316
90 118 1 90 118 2 -2129354316
90 118 2 89 118 2 -2129354316
89 118 2 88 118 2 -2129354316
88 118 2 87 118 2 -2129354316
87 118 2 86 118 2 -2129354316
86 118 2 85 118 2 -2129354316
85 118 2 84 118 2 -2129354316
84 118 2 83 118 2 -2129354316
83 118 2 82 118 2 -2129354316
82 118 2 81 118 2 -2129354316
81 118 2 80 118 2 -2129354316
80 118 2 79 118 2 -2129354316
79 118 2 78 118 2 -2129354316
78 118 2 77 118 2 -2129354316
77 118 2 76 118 2 -2129354316
76 118 2 75 118 2 -2129354316
75 118 2 74 118 2 -2129354316
74 118 2 73 118 2 -2129354316
73 118 2 73 118 1 -2129354316
73 118 1 73 117 1 -2129354316
73 117 1 73 116 1 -2129354316
73 116 1 73 116 2 -2129354316
73 116 2 72 116 2 -2129354316
72 116 2 71 116 2 -2129354316
71 116 2 70 116 2 -2129354316
70 116 2 69 116 2 -2129354316
69 116 2 68 116 2 -2129354316
68 116 2 67 116 2 -2129354316
67 116 2 66 116 2 -2129354316
66 116 2 65 116 2 -2129354316
65 116 2 64 116 2 -2129354316
64 116 2 63 116 2 -2129354316
63 116 2 62 116 2 -2129354316
62 116 2 61 116 2 -2129354316
61 116 2 60 116 2 -2129354316
60 116 2 59 116 2 -2129354316
59 116 2 58 116 2 -2129354316
58 116 2 57 116 2 -2129354316
57 116 2 56 116 2 -2129354316
56 116 2 55 116 2 -2129354316
55 116 2 54 116 2 -2129354316
54 116 2 53 116 2 -2129354316
53 116 2 52 116 2 -2129354316
52 116 2 51 116 2 -2129354316
51 116 2 50 116 2 -2129354316
50 116 2 49 116 2 -2129354316
49 116 2 48 116 2 -2129354316
48 116 2 47 116 2 -2129354316
47 116 2 46 116 2 -2129354316
46 116 2 45 116 2 -2129354316
45 116 2 44 116 2 -2129354316
44 116 2 43 116 2 -2129354316
43 116 2 42 116 2 -2129354316
42 116 2 41 116 2 -2129354316
41 116 2 40 116 2 -2129354316
40 116 2 39 116 2 -2129354316
39 116 2 38 116 2 -2129354316
38 116 2 37 116 2 -2129354316
37 116 2 36 116 2 -2129354316
36 116 2 35 116 2 -2129354316
35 116 2 34 116 2 -2129354316
34 116 2 33 116 2 -2129354316
33 116 2 32 116 2 -2129354316
32 116 2 31 116 2 -2129354316
31 116 2 30 116 2 -2129354316
30 116 2 29 116 2 -2129354316
29 116 2 28 116 2 -2129354316
28 116 2 27 116 2 -2129354316
27 116 2 26 116 2 -2129354316
26 116 2 25 116 2 -2129354316
25 116 2 24 116 2 -2129354316
24 116 2 24 116 1 -2129354316
24 116 1 24 117 1 -2129354316
24 117 1 24 118 1 -2129354316
24 118 1 24 119 1 -2129354316
24 119 1 24 119 2 -2129354316
24 119 2 23 119 2 -2129354316
23 119 2 22 119 2 -2129354316
22 119 2 21 119 2 -2129354316
21 119 2 20 119 2 -2129354316
20 119 2 19 119 2 -2129354316
19 119 2 18 119 2 -2129354316
18 119 2 17 119 2 -2129354316
17 119 2 16 119 2 -2129354316
16 119 2 15 119 2 -2129354316
15 119 2 14 119 2 -2129354316
14 119 2 13 119 2 -2129354316
13 119 2 12 119 2 -2129354316
12 119 2 11 119 2 -2129354316
11 119 2 10 119 2 -2129354316
10 119 2 9 119 2 -2129354316
9 119 2 8 119 2 -2129354316
8 119 2 7 119 2 -2129354316
7 119 2 7 119 1 -2129354316
7 119 1 7 120 1 -2129354316
7 120 1 7 121 1 -2129354316
7 121 1 7 122 1 -2129354316
7 122 1 7 123 1 -2129354316
7 123 1 7 124 1 -2129354316
7 124 1 7 124 2 -2129354316
7 124 2 6 124 2 -2129354316
6 124 2 5 124 2 -2129354316
5 124 2 4 124 2 -2129354316
4 124 2 4 124 1 -2129354316
175 22 1 175 23 1 -2121873530
175 23 1 175 24 1 -2121873530
175 24 1 175 25 1 -2121873530
175 25 1 175 26 1 -2121873530
175 26 1 175 27 1 -2121873530
175 27 1 175 28 1 -2121873530
175 28 1 175 29 1 -2121873530
175 29 1 175 30 1 -2121873530
175 30 1 175 31 1 -2121873530
175 31 1 175 32 1 -2121873530
175 32 1 175 33 1 -2121873530
175 33 1 175 34 1 -2121873530
175 34 1 175 35 1 -2121873530
175 35 1 175 36 1 -2121873530
175 36 1 175 37 1 -2121873530
175 37 1 175 38 1 -2121873530
175 38 1 175 39 1 -2121873530
175 39 1 175 40 1 -2121873530
175 40 1 175 41 1 -2121873530
175 41 1 175 42 1 -2121873530
175 42 1 175 43 1 -2121873530
175 43 1 175 44 1 -2121873530
175 44 1 175 45 1 -2121873530
175 45 1 175 46 1 -2121873530
175 46 1 175 47 1 -2121873530
175 47 1 175 48 1 -2121873530
175 48 1 175 49 1 -2121873530
175 49 1 175 50 1 -2121873530
175 50 1 175 51 1 -2121873530
175 51 1 175 52 1 -2121873530
175 52 1 175 53 1 -2121873530
175 53 1 175 54 1 -2121873530
175 54 1 175 55 1 -2121873530
175 55 1 175 56 1 -2121873530
175 56 1 175 57 1 -2121873530
175 57 1 175 58 1 -2121873530
175 58 1 175 59 1 -2121873530
175 59 1 175 60 1 -2121873530
175 60 1 175 61 1 -2121873530
175 61 1 175 62 1 -2121873530
175 62 1 175 63 1 -2121873530
175 63 1 175 64 1 -2121873530
175 64 1 175 65 1 -2121873530
175 65 1 175 66 1 -2121873530
175 66 1 175 67 1 -2121873530
175 67 1 175 68 1 -2121873530
175 68 1 175 69 1 -2121873530
175 69 1 175 70 1 -2121873530
175 70 1 175 71 1 -2121873530
175 71 1 175 72 1 -2121873530
175 72 1 175 73 1 -2121873530
175 73 1 175 74 1 -2121873530
175 74 1 175 75 1 -2121873530
175 75 1 175 76 1 -2121873530
175 76 1 175 77 1 -2121873530
175 77 1 175 78 1 -2121873530
175 78 1 175 79 1 -2121873530
175 79 1 175 80 1 -2121873530
175 80 1 175 81 1 -2121873530
175 81 1 175 82 1 -2121873530
175 82 1 175 83 1 -2121873530
175 83 1 175 84 1 -2121873530
175 84 1 175 85 1 -2121873530
175 85 1 175 86 1 -2121873530
175 86 1 175 87 1 -2121873530
175 87 1 175 88 1 -2121873530
175 88 1 175 89 1 -2121873530
175 89 1 175 90 1 -2121873530
175 90 1 175 91 1 -2121873530
175 91 1 175 92 1 -2121873530
175 92 1 175 93 1 -2121873530
175 93 1 175 94 1 -2121873530
175 94 1 175 95 1 -2121873530
175 95 1 175 96 1 -2121873530
175 96 1 175 97 1 -2121873530
175 97 1 175 98 1 -2121873530
175 98 1 175 99 1 -2121873530
175 99 1 175 100 1 -2121873530
175 100 1 175 101 1 -2121873530
175 101 1 175 102 1 -2121873530
175 102 1 175 103 1 -2121873530
175 103 1 175 104 1 -2121873530
175 104 1 175 105 1 -2121873530
175 105 1 175 106 1 -2121873530
175 106 1 175 107 1 -2121873530
175 107 1 175 108 1 -2121873530
175 108 1 175 109 1 -2121873530
175 109 1 175 110 1 -2121873530
175 110 1 175 111 1 -2121873530
175 111 1 175 112 1 -2121873530
175 112 1 175 113 1 -2121873530
175 113 1 175 114 1 -2121873530
175 114 1 175 115 1 -2121873530
175 115 1 175 116 1 -2121873530
175 116 1 175 117 1 -2121873530
175 117 1 175 118 1 -2121873530
175 118 1 175 119 1 -2121873530
175 119 1 175 120 1 -2121873530
175 120 1 175 121 1 -2121873530
175 121 1 175 122 1 -2121873530
175 122 1 175 123 1 -2121873530
175 123 1 175 124 1 -2121873530
175 124 1 175 125 1 -2121873530
175 125 1 175 126 1 -2121873530
175 126 1 175 127 1 -2121873530
175 127 1 175 128 1 -2121873530
175 128 1 175 129 1 -2121873530
175 129 1 175 130 1 -2121873530
175 130 1 175 131 1 -2121873530
175 131 1 175 132 1 -2121873530
175 132 1 175 133 1 -2121873530
175 133 1 175 134 1 -2121873530
175 134 1 175 135 1 -2121873530
175 135 1 175 136 1 -2121873530
175 136 1 175 137 1 -2121873530
175 137 1 175 138 1 -2121873530
175 138 1 175 139 1 -2121873530
175 139 1 175 140 1 -2121873530
175 140 1 175 141 1 -2121873530
175 141 1 175 142 1 -2121873530
175 142 1 175 143 1 -2121873530
175 143 1 175 144 1 -2121873530
175 144 1 175 145 1 -2121873530
175 145 1 175 146 1 -2121873530
175 146 1 175 147 1 -2121873530
175 147 1 175 148 1 -2121873530
175 148 1 175 149 1 -2121873530
175 149 1 175 150 1 -2121873530
175 150 1 175 151 1 -2121873530
175 151 1 175 152 1 -2121873530
175 152 1 175 153 1 -2121873530
175 153 1 175 154 1 -2121873530
175 154 1 175 155 1 -2121873530
175 155 1 175 156 1 -2121873530
175 156 1 175 157 1 -2121873530
175 157 1 175 158 1 -2121873530
175 158 1 175 159 1 -2121873530
175 159 1 175 160 1 -2121873530
175 160 1 175 161 1 -2121873530
175 161 1 175 162 1 -2121873530
175 162 1 175 163 1 -2121873530
175 163 1 175 164 1 -2121873530
175 164 1 175 165 1 -2121873530
175 165 1 175 166 1 -2121873530
175 166 1 175 167 1 -2121873530
175 167 1 175 168 1 -2121873530
175 168 1 175 169 1 -2121873530
175 169 1 175 170 1 -2121873530
175 170 1 175 171 1 -2121873530
175 171 1 175 171 2 -2121873530
175 171 2 174 171 2 -2121873530
174 171 2 173 171 2 -2121873530
173 171 2 172 171 2 -2121873530
172 171 2 171 171 2 -2121873530
171 171 2 170 171 2 -2121873530
170 171 2 169 171 2 -2121873530
169 171 2 168 171 2 -2121873530
168 171 2 167 171 2 -2121873530
167 171 2 166 171 2 -2121873530
166 171 2 165 171 2 -2121873530
165 171 2 164 171 2 -2121873530
164 171 2 163 171 2 -2121873530
163 171 2 162 171 2 -2121873530
162 171 2 161 171 2 -2121873530
161 171 2 160 171 2 -2121873530
160 171 2 159 171 2 -2121873530
159 171 2 158 171 2 -2121873530
158 171 2 157 171 2 -2121873530
157 171 2 156 171 2 -2121873530
156 171 2 155 171 2 -2121873530
155 171 2 154 171 2 -2121873530
154 171 2 153 171 2 -2121873530
153 171 2 152 171 2 -2121873530
152 171 2 151 171 2 -2121873530
151 171 2 150 171 2 -2121873530
150 171 2 149 171 2 -2121873530
149 171 2 148 171 2 -2121873530
148 171 2 147 171 2 -2121873530
147 171 2 146 171 2 -2121873530
146 171 2 145 171 2 -2121873530
145 171 2 144 171 2 -2121873530
144 171 2 143 171 2 -2121873530
143 171 2 142 171 2 -2121873530
142 171 2 141 171 2 -2121873530
141 171 2 140 171 2 -2121873530
140 171 2 139 171 2 -2121873530
139 171 2 138 171 2 -2121873530
138 171 2 137 171 2 -2121873530
137 171 2 136 171 2 -2121873530
136 171 2 135 171 2 -2121873530
135 171 2 134 171 2 -2121873530
134 171 2 133 171 2 -2121873530
133 171 2 132 171 2 -2121873530
132 171 2 131 171 2 -2121873530
131 171 2 130 171 2 -2121873530
130 171 2 129 171 2 -2121873530
129 171 2 128 171 2 -2121873530
128 171 2 127 171 2 -2121873530
127 171 2 126 171 2 -2121873530
126 171 2 125 171 2 -2121873530
125 171 2 124 171 2 -2121873530
124 171 2 123 171 2 -2121873530
123 171 2 122 171 2 -2121873530
122 171 2 121 171 2 -2121873530
121 171 2 120 171 2 -2121873530
120 171 2 119 171 2 -2121873530
119 171 2 118 171 2 -2121873530
118 171 2 117 171 2 -2121873530
117 171 2 116 171 2 -2121873530
116 171 2 115 171 2 -2121873530
115 171 2 114 171 2 -2121873530
114 171 2 113 171 2 -2121873530
113 171 2 112 171 2 -2121873530
112 171 2 111 171 2 -2121873530
111 171 2 110 171 2 -2121873530
110 171 2 109 171 2 -2121873530
109 171 2 108 171 2 -2121873530
108 171 2 107 171 2 -2121873530
107 171 2 106 171 2 -2121873530
106 171 2 105 171 2 -2121873530
105 171 2 104 171 2 -2121873530
104 171 2 103 171 2 -2121873530
103 171 2 102 171 2 -2121873530
102 171 2 101 171 2 -2121873530
101 171 2 100 171 2 -2121873530
100 171 2 99 171 2 -2121873530
99 171 2 98 171 2 -2121873530
98 171 2 97 171 2 -2121873530
97 171 2 96 171 2 -2121873530
96 171 2 95 171 2 -2121873530
95 171 2 94 171 2 -2121873530
94 171 2 93 171 2 -2121873530
93 171 2 92 171 2 -2121873530
92 171 2 91 171 2 -2121873530
91 171 2 90 171 2 -2121873530
90 171 2 89 171 2 -2121873530
89 171 2 88 171 2 -2121873530
88 171 2 87 171 2 -2121873530
87 171 2 86 171 2 -2121873530
86 171 2 85 171 2 -2121873530
85 171 2 84 171 2 -2121873530
84 171 2 83 171 2 -2121873530
83 171 2 82 171 2 -2121873530
82 171 2 81 171 2 -2121873530
81 171 2 80 171 2 -2121873530
80 171 2 79 171 2 -2121873530
79 171 2 78 171 2 -2121873530
78 171 2 77 171 2 -2121873530
77 171 2 76 171 2 -2121873530
76 171 2 75 171 2 -2121873530
75 171 2 74 171 2 -2121873530
74 171 2 73 171 2 -2121873530
73 171 2 72 171 2 -2121873530
72 171 2 71 171 2 -2121873530
71 171 2 70 171 2 -2121873530
70 171 2 69 171 2 -2121873530
69 171 2 68 171 2 -2121873530
68 171 2 67 171 2 -2121873530
67 171 2 66 171 2 -2121873530
66 171 2 65 171 2 -2121873530
65 171 2 64 171 2 -2121873530
64 171 2 63 171 2 -2121873530
63 171 2 62 171 2 -2121873530
62 171 2 61 171 2 -2121873530
61 171 2 60 171 2 -2121873530
60 171 2 59 171 2 -2121873530
